title,duration,duration_min,release_year,type
Avvai Shanmughi,161 min,161.0,1996,Movie
Jeans,166 min,166.0,1998,Movie
My Heroes Were Cowboys,23 min,23.0,2021,Movie
A StoryBots Space Adventure,13 min,13.0,2021,Movie
King of Boys,182 min,182.0,2018,Movie
Little Singham - Black Shadow,48 min,48.0,2021,Movie
Once Upon a Time in America,229 min,229.0,1984,Movie
Kyaa Kool Hai Hum,165 min,165.0,2005,Movie
Magnolia,189 min,189.0,1999,Movie
Django Unchained,165 min,165.0,2012,Movie
Bridgerton - The Afterparty,39 min,39.0,2021,Movie
Lee Su-geun: The Sense Coach,46 min,46.0,2021,Movie
Awon Boyz,38 min,38.0,2019,Movie
Audible,39 min,39.0,2021,Movie
Jagame Thandhiram,159 min,159.0,2021,Movie
Aziza,13 min,13.0,2019,Movie
Besieged Bread,12 min,12.0,2015,Movie
Headspace: Unwind Your Mind,273 min,273.0,2021,Movie
Bling Empire - The Afterparty,36 min,36.0,2021,Movie
Cobra Kai - The Afterparty,34 min,34.0,2021,Movie
To All the Boys: Always and Forever - The Afterparty,36 min,36.0,2021,Movie
Trese After Dark,36 min,36.0,2021,Movie
Alan Saldaña: Locked Up,49 min,49.0,2021,Movie
Seven Souls in the Skull Castle: Season Moon Jogen,204 min,204.0,2017,Movie
Seven Souls in the Skull Castle: Season Moon Kagen,212 min,212.0,2017,Movie
Super Monsters: Once Upon a Rhyme,25 min,25.0,2021,Movie
Creating an Army of the Dead,29 min,29.0,2021,Movie
Little Singham Future mein Satakli,47 min,47.0,2021,Movie
The Upshaws - The Afterparty,32 min,32.0,2021,Movie
The Circle - The Afterparty,35 min,35.0,2021,Movie
Shadow and Bone - The Afterparty,33 min,33.0,2021,Movie
One Like It,15 min,15.0,2020,Movie
Lagaan,224 min,224.0,2001,Movie
Taare Zameen Par,162 min,162.0,2007,Movie
Dad Stop Embarrassing Me - The Afterparty,37 min,37.0,2021,Movie
Two Distant Strangers,32 min,32.0,2021,Movie
2012,158 min,158.0,2009,Movie
3 Idiots,164 min,164.0,2009,Movie
My Fair Lady,173 min,173.0,1964,Movie
Seven Souls in the Skull Castle: Season Bird,182 min,182.0,2017,Movie
